INJURED,TEAM,NAME,STATUS,RETURNED
1/2/12,San Antonio Spurs,Manu Ginobili,out indefinitely,2/8/12
1/6/12,Sacramento Kings,Chuck Hayes,out indefinitely,1/25/12
1/7/12,Minnesota Timberwolves,Michael Beasley,out indefinitely,1/25/12
1/11/12,Atlanta Hawks,Al Horford,out for season,7/1/12
1/24/12,New Jersey Nets,Damion James, ,7/1/12
1/26/12,Milwaukee Bucks,Andrew Bogut,out indefinitely,7/1/12
1/30/12,New Jersey Nets,MarShon Brooks,out indefinitely,2/8/12
2/2/12,Charlotte Bobcats,Gerald Henderson ,out indefinitely,2/23/12
2/6/12,Washington Wizards,Rashard Lewis,out indefinitely,2/12/12
2/7/12,Los Angeles Clippers,Chauncey Billups,out for season,7/1/12
2/7/12,New York Knicks,Carmelo Anthony,out indefinitely,2/19/20
2/7/12,Denver Nuggets,Danilo Gallinari,out indefinitely,3/5/20
2/9/12,New Jersey Nets,Keith Bogans,out for season,7/1/12
2/10/12,New Orleans Hornets,Jarrett Jack,CBC Fox,2/15/12
2/14/12,Los Angeles Clippers,Chauncey Billups,out for season,7/1/12
2/17/12,Dallas Mavericks,Delonte West,out indefinitely,3/27/19
2/22/12,New Jersey Nets,Shawne Williams,out for season,7/1/12
2/28/20,Washington Wizards,Rashard Lewis,out for season,7/1/12
3/9/12,Minnesota Timberwolves,Ricky Rubio,out for season,7/1/12
3/19/12,Atlanta Hawks,Jannero Pargo,out indefinitely,3/31/12
3/21/12,Portland Trailblazers,Elliot Williams,out for season,7/1/12
3/27/12,Toronto Raptors,Jerryd Bayless,out for season,7/1/12
3/29/12,Denver Nuggets,Rudy Fernandez,out for season,7/1/12
3/30/12,Boston Celtics,Jermaine O'Neal,out for season,7/1/12
3/26/12,New York Knicks,Jeremy Lin,out for season,7/1/12
4/4/12,New Orleans Hornets,Jarrett Jack,CBC Fox,7/1/12
4/6/12,Orlando Magic,Hedo Turkoglu,out for season,7/1/12
4/12/12,Portland Trailblazers,LaMarcus Aldridge,out for season,7/1/12
4/16/12,Washington Wizards,Roger Mason Jr.,out for season,7/1/12
4/18/12,Golden State Warriors,Nate Robinson,out for season,7/1/12
4/1/12,Orlando Magic,Dwight Howard,out for season,7/1/12
4/22/12,Houston Rockets,Kyle Lowry,out for season,7/1/12
3/13/12,Golden State Warriors,Stephen Curry,out for season,7/1/12
4/26/12,Golden State Warriors,David Lee,out for season,7/1/12
3/14/12,Chicago Bulls,Derrick Rose,out for season,4/5/12
4/29/12,Los Angeles Clippers,Caron Butler,out for season,7/1/12
4/30/12,Denver Nuggets,Wilson Chandler,out for season,7/1/12
3/10/12,Houston Rockets,Kyle Lowry,out indefinitely,4/6/12
3/27/12,Milwaukee Bucks,Carlos Delfino,out indefinitely,4/6/12
5/6/12,New York Knicks,Baron Davis,out for season,7/1/12
4/11/12,Portland Trailblazers,LaMarcus Aldridge,out indefinitely,7/1/12
5/25/12,Boston Celtics,Avery Bradley,out for season,7/1/12
3/25/12,Boston Celtics,Mickael Pietrus,out indefinitely,4/10/12
3/23/12,Boston Celtics,Ray Allen,out indefinitely,4/1/12
4/11/12,Boston Celtics,Ray Allen,out indefinitely,7/1/12
