Team,W-L O/U
Miami Heat,47.5
Los Angeles Lakers,42.5
Chicago Bulls,47.5
Oklahoma City Thunder,46.5
Dallas Mavericks,44.5
Boston Celtics,40.5
New York Knicks,41.5
Los Angeles Clippers,42.5
Memphis Grizzlies,37.5
Orlando Magic,37.5
Portland Trail Blazers,37.5
San Antonio Spurs,40.5
New Jersey Nets,27.5
Atlanta Hawks,34.5
Houston Rockets,33.5
Indiana Pacers,36.5
Denver Nuggets,36.5
Phoenix Suns,29.5
Utah Jazz,25.5
Philadelphia 76ers,36.5
Milwaukee Bucks,31.5
Golden State Warriors,29.5
New Orleans Hornets,25.5
Washington Wizards,20.5
Minnesota Timberwolves,23.5
Detroit Pistons,21.5
Sacramento Kings,20.5
Cleveland Cavaliers,17.5
Charlotte Bobcats,19.5
Toronto Raptors,16.5
